Date,RH_AVG,RH_AVG_SMA30,RH_AVG_EWMA30
2021-10-05,65.0,73.96666666666667,73.35773727780237
2021-10-06,74.0,73.93333333333334,73.39917358246028
2021-10-07,68.0,73.7,73.05083980294673
2021-10-08,64.0,73.0,72.46691465436952
2021-10-09,66.0,72.36666666666666,72.0496943540876
2021-10-09,66.0,71.93333333333334,71.65939149253356
2021-10-10,57.0,71.63333333333334,70.71362429946689
2021-10-11,53.0,71.2,69.57080982853354
2021-10-11,53.0,70.83333333333333,68.50172532346686
2021-10-12,58.0,70.63333333333334,67.82419465743673
2021-10-12,58.0,70.5,67.19037564727952
2021-10-13,57.0,70.33333333333333,66.53293205713244
2021-10-13,57.0,69.86666666666666,65.91790418247874
2021-10-14,61.0,69.53333333333333,65.60062004167365
2021-10-14,61.0,69.23333333333333,65.30380584543664
2021-10-15,64.0,69.03333333333333,65.21968933927944
2021-10-15,64.0,68.43333333333334,65.14099970448721
2021-10-16,64.0,67.63333333333334,65.06738682032675
2021-10-16,64.0,67.23333333333333,64.99852315449921
2021-10-17,79.0,67.33333333333333,65.90184424130571
2021-10-18,75.0,67.1,66.4888220321892
2021-10-19,80.0,67.03333333333333,67.36051093333829
2021-10-20,95.0,67.36666666666666,69.14370377634872
2021-10-21,82.0,67.26666666666667,69.97314224239072
2021-10-22,87.0,67.7,71.07164919449455
2021-10-23,81.0,67.93333333333334,71.71218795614007
2021-10-24,86.0,68.33333333333333,72.63398228155039
2021-10-25,85.0,68.66666666666667,73.43178987628907
2021-10-26,86.0,69.26666666666667,74.24264214233493
2021-10-26,86.0,69.86666666666666,75.00118135895849
2021-10-27,91.0,70.73333333333333,76.03336320676762
2021-10-27,91.0,71.3,76.99895267729875
2021-10-28,80.0,71.7,77.19256863360205
2021-10-28,80.0,72.23333333333333,77.37369323788579
2021-10-29,81.0,72.73333333333333,77.6076485128609
2021-10-29,81.0,73.23333333333333,77.82650989912794
2021-10-30,92.0,74.4,78.74092861531324
2021-10-30,92.0,75.7,79.59635257561561
2021-10-31,84.0,76.73333333333333,79.88045886105976
2021-10-31,84.0,77.6,80.14623570873333
2021-11-01,83.0,78.43333333333334,80.33034953397635
2021-11-01,83.0,79.3,80.50258504791336
2021-11-02,83.0,80.16666666666667,80.66370859320926
2021-11-03,86.0,81.0,81.0079854581635
2021-11-04,86.0,81.83333333333333,81.33005091247554
2021-11-05,85.0,82.53333333333333,81.56682182134809
2021-11-05,85.0,83.23333333333333,81.78831718771274
2021-11-06,84.0,83.9,81.93100640140868
2021-11-07,87.0,84.66666666666667,82.25803824647909
2021-11-08,90.0,85.03333333333333,82.75751964993205
2021-11-09,84.0,85.33333333333333,82.83767967251707
2021-11-10,88.0,85.6,83.1707325968708
2021-11-11,84.0,85.23333333333333,83.22423371965334
2021-11-12,90.0,85.5,83.66137993128861
2021-11-12,90.0,85.6,84.07032316152805
2021-11-13,75.0,85.4,83.48514102207463
2021-11-13,75.0,85.03333333333333,82.93771256903756
2021-11-14,81.0,84.9,82.8126988549061
2021-11-15,79.0,84.66666666666667,82.56671828362184
2021-11-16,82.0,84.53333333333333,82.53015581371075
2021-11-17,87.0,84.4,82.81853285798748
2021-11-18,79.0,84.0,82.57217589940764
2021-11-19,78.0,83.93333333333334,82.27719680912328
2021-11-20,76.0,83.8,81.872216369825
2021-11-20,76.0,83.63333333333334,81.49336370080403
2021-11-21,80.0,83.6,81.39701765559086
2021-11-22,80.0,83.2,81.30688748426242
2021-11-23,82.0,82.86666666666666,81.35160442076162
2021-11-24,89.0,83.03333333333333,81.84504929684151
2021-11-25,87.0,83.13333333333334,82.17762676156141
2021-11-26,88.0,83.3,82.55326374468648
2021-11-27,84.0,83.33333333333333,82.64660156760993
2021-11-27,84.0,83.36666666666666,82.73391759550607
2021-11-28,93.0,83.6,83.3962454925702
2021-11-28,93.0,83.83333333333333,84.01584255756566
2021-11-29,90.0,84.0,84.4019172312711
2021-11-30,98.0,84.43333333333334,85.27921289376974
2021-12-01,71.0,84.0,84.3579733522362
2021-12-02,81.0,83.8,84.14132991015644
2021-12-02,81.0,83.5,83.9386634643399
2021-12-03,91.0,83.73333333333333,84.39423356341474
2021-12-03,91.0,83.83333333333333,84.82041204319445
2021-12-04,71.0,83.4,83.92877255653674
2021-12-05,82.0,83.13333333333334,83.80433561740534
2021-12-06,80.0,82.8,83.55889460983082
2021-12-06,80.0,82.96666666666667,83.32928850597077
2021-12-07,86.0,83.33333333333333,83.50159247332749
2021-12-07,86.0,83.5,83.66278005569346
2021-12-08,76.0,83.4,83.16840714887452
2021-12-08,76.0,83.2,82.70592926830197
2021-12-09,83.0,83.06666666666666,82.72490157357281
2021-12-10,84.0,83.23333333333333,82.80716598818101
2021-12-11,82.0,83.36666666666666,82.75509076313708
2021-12-11,82.0,83.56666666666666,82.70637523003145
2021-12-12,74.0,83.5,82.1446736022875
2021-12-12,74.0,83.3,81.61921078923669
2021-12-13,73.0,83.06666666666666,81.06313267380206
2021-12-13,73.0,82.76666666666667,80.54293056581483
2021-12-14,77.0,82.36666666666666,80.31435440027839
2021-12-15,80.0,82.13333333333334,80.29407347122817
2021-12-16,79.0,81.83333333333333,80.2105848601812
2021-12-17,87.0,81.93333333333334,80.64861164339531
2021-12-18,95.0,82.3,81.57450766640207
2021-12-19,87.0,82.1,81.92453942986
2021-12-20,93.0,82.1,82.63908527309484
2021-12-21,77.0,81.66666666666667,82.27527331999194
2021-12-22,74.0,80.86666666666666,81.74138471870214
2021-12-23,72.0,80.9,81.11290828523748
2021-12-24,77.0,80.76666666666667,80.84755936360926
2021-12-25,75.0,80.56666666666666,80.47029746918285
2021-12-26,74.0,80.0,80.05285892278395
2021-12-27,70.0,79.3,79.40428737937854
2021-12-28,71.0,79.3,78.86207529038637
2021-12-29,71.0,78.93333333333334,78.35484462649048
2021-12-30,80.0,78.93333333333334,78.46098368284592
2021-12-31,90.0,79.26666666666667,79.20543634846875
2022-01-01,91.0,79.43333333333334,79.96637593889012
2022-01-02,84.0,79.36666666666666,80.22660974928431
2022-01-03,82.0,79.56666666666666,80.34102202352403
2022-01-04,87.0,79.93333333333334,80.77063350587733
2022-01-05,77.0,79.73333333333333,80.5273668280788
2022-01-06,82.0,79.66666666666667,80.62237541981565
2022-01-07,76.0,79.46666666666667,80.32415765079529
2022-01-08,90.0,79.73333333333333,80.94840554429236
2022-01-09,82.0,80.0,81.0162503478864
2022-01-10,83.0,80.3,81.14423419640985
2022-01-11,76.0,80.4,80.81234811922212
2022-01-12,76.0,80.5,80.50187404701424
2022-01-13,80.0,80.6,80.46949507623913
2022-01-14,72.0,80.33333333333333,79.92307603906241
2022-01-15,78.0,80.3,79.79900661718742
2022-01-16,73.0,79.83333333333333,79.36036102898179
2022-01-17,80.0,79.33333333333333,79.40162805937005
2022-01-18,81.0,79.13333333333334,79.50474882973327
2022-01-19,70.0,78.36666666666666,78.891539227815
2022-01-20,75.0,78.3,78.64047218085919
2022-01-21,76.0,78.36666666666666,78.4701191369328
2022-01-22,77.0,78.53333333333333,78.37527274100164
2022-01-23,78.0,78.56666666666666,78.35106159642089
2022-01-24,83.0,78.83333333333333,78.65099310632922
2022-01-25,79.0,79.0,78.67350968011444
2022-01-26,76.0,79.2,78.50102518462319
2022-01-27,78.0,79.43333333333334,78.46870097916363
2022-01-28,73.0,79.5,78.11588156115307
2022-01-29,80.0,79.5,78.23743758946577
2022-01-30,74.0,78.96666666666667,77.96405451917767
2022-01-31,73.0,78.36666666666666,77.64379293729523
2022-02-01,77.0,78.13333333333334,77.60225790908264
2022-02-02,82.0,78.13333333333334,77.88598320527085
2022-02-03,74.0,77.7,77.63527461138241
2022-02-04,79.0,77.76666666666667,77.72332141064807
2022-02-05,72.0,77.43333333333334,77.35407486802562
2022-02-06,81.0,77.6,77.58929584428202
2022-02-07,90.0,77.6,78.38998643497351
2022-02-08,77.0,77.43333333333334,78.30030989078166
2022-02-09,90.0,77.66666666666667,79.05512860750544
2022-02-10,82.0,77.86666666666666,79.24512031024702
2022-02-11,76.0,77.86666666666666,79.03575770958592
2022-02-12,82.0,77.93333333333334,79.22699914767716
2022-02-13,73.0,77.96666666666667,78.82525726718185
2022-02-14,81.0,78.06666666666666,78.96556324994431
2022-02-15,87.0,78.53333333333333,79.48391400801242
2022-02-16,88.0,78.8,80.0333389107213
2022-02-17,83.0,78.86666666666666,80.22473640035217
2022-02-18,80.0,79.2,80.21023727774882
2022-02-19,79.0,79.33333333333333,80.13215745337793
2022-02-20,75.0,79.3,79.80105052090192
2022-02-21,76.0,79.26666666666667,79.55582145503729
2022-02-22,82.0,79.4,79.71351039342198
2022-02-23,84.0,79.43333333333334,79.99005810997541
2022-02-24,79.0,79.43333333333334,79.9261833932028
2022-02-25,78.0,79.5,79.80191349686714
2022-02-26,83.0,79.66666666666667,80.00824165835958
2022-02-27,91.0,80.26666666666667,80.71738735782026
2022-02-28,86.0,80.46666666666667,81.05820107667057
2022-03-01,83.0,80.76666666666667,81.1834784265628
2022-03-02,87.0,81.23333333333333,81.55873788291359
2022-03-03,83.0,81.43333333333334,81.65172253562883
2022-03-04,78.0,81.3,81.41612753333021
2022-03-05,85.0,81.66666666666667,81.64734511182503
2022-03-06,83.0,81.8,81.73461316912665
2022-03-07,80.0,82.06666666666666,81.62270264208621
2022-03-08,86.0,82.23333333333333,81.90510892324194
2022-03-09,86.0,82.1,82.16929544432311
2022-03-10,80.0,82.2,82.02934089952807
2022-03-11,84.0,82.0,82.15648019633271
2022-03-12,80.0,81.93333333333334,82.0173524417306
2022-03-13,79.0,82.03333333333333,81.8226845422641
2022-03-14,82.0,82.03333333333333,81.8341242492148
2022-03-15,79.0,82.23333333333333,81.651277523459
2022-03-16,86.0,82.4,81.931840263881
2022-03-17,85.0,82.33333333333333,82.12978605330804
2022-03-18,79.0,82.03333333333333,81.92786437244946
2022-03-19,86.0,82.13333333333334,82.19058280003337
2022-03-20,82.0,82.2,82.17828713551508
2022-03-21,73.0,82.0,81.58613957838507
2022-03-22,75.0,82.0,81.16122734752152
2022-03-23,81.0,82.16666666666667,81.1508255831653
2022-03-24,82.0,82.16666666666667,81.20561102941271
2022-03-25,83.0,82.13333333333334,81.32137805977317
2022-03-26,83.0,82.26666666666667,81.42967624946522
2022-03-27,76.0,82.2,81.07937455595133
2022-03-28,80.0,82.1,81.00973748782545
2022-03-29,81.0,81.76666666666667,81.00910926280446
2022-03-30,78.0,81.5,80.8149731813332
2022-03-31,82.0,81.46666666666667,80.89142652447299
2022-04-01,74.0,81.03333333333333,80.44681836160376
2022-04-02,79.0,80.9,80.35347524150029
2022-04-03,92.0,81.36666666666666,81.10486393559705
2022-04-04,78.0,81.13333333333334,80.90455013330046
2022-04-05,89.0,81.33333333333333,81.42683722147463
2022-04-06,85.0,81.5,81.65736385234723
2022-04-07,79.0,81.26666666666667,81.48592102316354
2022-04-08,79.0,81.03333333333333,81.32553902166912
2022-04-09,79.0,81.0,81.17550424607757
2022-04-10,74.0,80.66666666666667,80.71256848826611
2022-04-11,78.0,80.6,80.5375640696683
2022-04-12,69.0,80.26666666666667,79.79320509743165
2022-04-13,76.0,80.06666666666666,79.54848218791993
2022-04-14,71.0,79.8,78.99696720805413
2022-04-15,74.0,79.4,78.67458222688936
2022-04-16,75.0,79.06666666666666,78.43751240579972
2022-04-17,72.0,78.83333333333333,78.02218902478039
2022-04-18,73.0,78.4,77.69817682963327
2022-04-19,76.0,78.2,77.58861703417307
2022-04-20,84.0,78.56666666666666,78.00225464487158
2022-04-21,78.0,78.66666666666667,78.00210918391213
2022-04-22,80.0,78.63333333333334,78.13100536559521
2022-04-23,77.0,78.46666666666667,78.05803727749229
2022-04-24,71.0,78.06666666666666,77.60268003378312
2022-04-25,80.0,77.96666666666667,77.75734583805517
2022-04-26,76.0,77.96666666666667,77.64396868721289
2022-04-27,78.0,77.9,77.66693844932819
2022-04-28,72.0,77.6,77.30132951711347
