Date,Year,Month,Day,Prec,StDev,%Time,Q,S,is_outlier_Prec
2007-11-25,2007,November,25,0.0,0.91,0.0,2,1,False
2007-11-26,2007,November,26,0.05,1.77,2.0,2,1,False
2007-11-27,2007,November,27,0.38,4.39,2.0,2,1,False
2007-11-28,2007,November,28,0.1,3.58,2.0,2,1,False
2007-11-29,2007,November,29,0.24,2.77,4.0,2,1,False
2007-11-30,2007,November,30,0.0,2.0,0.0,2,1,False
2007-12-01,2007,Desember,1,0.67,7.02,3.0,2,1,False
2007-12-02,2007,Desember,2,0.38,1.53,21.0,2,1,False
2007-12-03,2007,Desember,3,-0.05,1.43,1.0,2,1,False
2007-12-04,2007,Desember,4,-0.05,2.48,0.0,2,1,False
2007-12-05,2007,Desember,5,0.0,2.1,1.0,2,1,False
2007-12-06,2007,Desember,6,0.0,2.39,0.0,2,1,False
2007-12-07,2007,Desember,7,0.53,27.97,5.0,2,1,False
2007-12-08,2007,Desember,8,0.43,11.7,10.0,2,1,False
2007-12-09,2007,Desember,9,0.1,3.44,10.0,2,1,False
2007-12-10,2007,Desember,10,0.43,5.82,4.0,2,1,False
2007-12-11,2007,Desember,11,0.19,2.48,2.0,2,1,False
2007-12-12,2007,Desember,12,0.14,2.63,3.0,2,1,False
2007-12-13,2007,Desember,13,0.0,1.43,0.0,2,1,False
2007-12-14,2007,Desember,14,1.48,6.06,22.0,2,1,False
2007-12-15,2007,Desember,15,0.0,5.54,0.0,2,1,False
2007-12-16,2007,Desember,16,0.0,2.05,0.0,2,1,False
2007-12-17,2007,Desember,17,0.05,4.44,1.0,2,1,False
2007-12-18,2007,Desember,18,0.0,1.1,0.0,2,1,False
2007-12-19,2007,Desember,19,0.0,5.16,0.0,2,1,False
2007-12-20,2007,Desember,20,0.0,2.43,1.0,2,1,False
2007-12-21,2007,Desember,21,0.0,2.48,0.0,2,1,False
2007-12-22,2007,Desember,22,0.1,3.87,2.0,2,1,False
2007-12-23,2007,Desember,23,0.91,6.16,6.0,2,1,False
2007-12-24,2007,Desember,24,0.24,3.68,8.0,2,1,False
2007-12-25,2007,Desember,25,0.0,0.86,0.0,2,1,False
2007-12-26,2007,Desember,26,0.0,1.53,0.0,2,1,False
2007-12-27,2007,Desember,27,-0.05,3.1,0.0,2,1,False
2007-12-28,2007,Desember,28,-0.05,1.24,0.0,2,1,False
2007-12-29,2007,Desember,29,-0.05,2.58,0.0,2,1,False
2007-12-30,2007,Desember,30,0.0,2.58,0.0,2,1,False
2007-12-31,2007,Desember,31,0.0,2.24,0.0,2,1,False
2008-01-01,2008,Januari,1,0.0,2.2,0.0,2,1,False
2008-01-02,2008,Januari,2,0.05,1.67,2.0,2,1,False
2008-01-03,2008,Januari,3,0.0,2.0,0.0,2,1,False
2008-01-04,2008,Januari,4,0.0,1.81,1.0,2,1,False
2008-01-05,2008,Januari,5,0.0,1.1,0.0,2,1,False
2010-07-05,2010,Juli,5,-0.01,0.02,0.0,1,5,False
2010-07-06,2010,Juli,6,-0.01,0.04,0.0,1,5,False
2010-07-07,2010,Juli,7,0.01,0.06,0.0,1,5,False
2010-07-08,2010,Juli,8,0.13,0.72,4.2,1,5,False
2010-07-09,2010,Juli,9,0.03,0.21,2.1,1,5,False
2010-07-10,2010,Juli,10,-0.01,0.05,0.0,1,5,False
2010-07-11,2010,Juli,11,0.0,0.04,0.0,1,5,False
2010-07-12,2010,Juli,12,0.05,0.29,2.1,1,5,False
2010-07-13,2010,Juli,13,0.26,1.25,7.7,1,5,False
2010-07-14,2010,Juli,14,0.33,1.1,8.3,1,5,False
2010-07-15,2010,Juli,15,0.31,0.89,10.4,1,5,False
2010-07-16,2010,Juli,16,0.46,2.51,6.2,1,5,False
2010-07-17,2010,Juli,17,0.2,1.33,2.8,1,5,False
2010-07-18,2010,Juli,18,0.1,0.57,3.5,1,5,False
2010-07-19,2010,Juli,19,0.01,0.11,0.7,1,5,False
2010-07-20,2010,Juli,20,0.03,0.38,0.7,1,5,False
2010-07-21,2010,Juli,21,0.0,0.04,0.0,1,5,False
2010-07-22,2010,Juli,22,-0.01,0.03,0.0,1,5,False
2010-07-23,2010,Juli,23,0.02,0.03,0.0,1,5,False
2010-07-24,2010,Juli,24,0.01,0.09,0.7,1,5,False
2010-07-25,2010,Juli,25,0.01,0.07,0.0,1,5,False
2010-07-26,2010,Juli,26,0.01,0.02,0.0,1,5,False
2010-07-27,2010,Juli,27,0.0,0.03,0.0,1,5,False
2010-07-28,2010,Juli,28,1.28,4.55,10.4,1,5,False
2010-07-29,2010,Juli,29,0.14,0.52,6.9,1,5,False
2010-07-30,2010,Juli,30,0.0,0.18,0.7,1,5,False
2010-07-31,2010,Juli,31,0.02,0.3,1.4,1,5,False
2010-08-01,2010,Agustus,1,-0.01,0.01,0.0,1,5,False
2010-08-02,2010,Agustus,2,-0.02,0.01,0.0,1,5,False
2010-08-03,2010,Agustus,3,-0.02,0.02,0.0,1,5,False
2010-08-04,2010,Agustus,4,0.07,0.96,1.4,1,5,False
2010-08-05,2010,Agustus,5,-0.02,0.01,0.0,1,5,False
2010-08-06,2010,Agustus,6,-0.02,0.01,0.0,1,5,False
2010-08-07,2010,Agustus,7,-0.02,0.03,0.0,1,5,False
2010-08-08,2010,Agustus,8,0.03,0.44,1.4,1,5,False
2010-08-09,2010,Agustus,9,0.06,0.76,1.4,1,5,False
2010-08-10,2010,Agustus,10,0.14,1.11,3.5,1,5,False
2010-08-11,2010,Agustus,11,0.27,1.02,9.0,1,5,False
2010-08-12,2010,Agustus,12,0.31,1.17,9.0,1,5,False
2010-08-13,2010,Agustus,13,0.14,0.78,4.2,1,5,False
2010-08-14,2010,Agustus,14,-0.01,0.05,0.0,1,5,False
2010-08-15,2010,Agustus,15,0.67,2.21,16.0,1,5,False
2010-08-16,2010,Agustus,16,0.12,0.51,6.2,1,5,False
2010-08-17,2010,Agustus,17,-0.02,0.02,0.0,1,5,False
2010-08-18,2010,Agustus,18,1.44,4.87,18.2,1,5,False
2010-08-19,2010,Agustus,19,0.77,2.26,18.8,1,5,False
2010-08-20,2010,Agustus,20,0.27,1.25,6.2,1,5,False
2010-08-21,2010,Agustus,21,0.02,0.21,1.4,1,5,False
2010-08-22,2010,Agustus,22,-0.01,0.02,0.0,1,5,False
2010-08-23,2010,Agustus,23,-0.01,0.01,0.0,1,5,False
2010-08-24,2010,Agustus,24,0.01,0.19,1.4,1,5,False
