Date,Year,Month,Day,SWRad,StDev,Max
2011-08-29,2011,8,29,1058.56,1,1
2011-08-30,2011,8,30,1126.35,1,1
2011-08-31,2011,8,31,1124.59,1,1
2011-09-01,2011,9,1,1000.9,1,1
2011-09-02,2011,9,2,1079.25,1,1
2011-09-03,2011,9,3,1033.47,1,1
2011-09-04,2011,9,4,188.3,1,1
2011-09-05,2011,9,5,1204.27,1,1
2011-09-06,2011,9,6,1188.42,1,1
2011-09-07,2011,9,7,1123.27,1,1
2011-09-08,2011,9,8,1263.69,1,1
2011-09-09,2011,9,9,1150.56,1,1
2011-09-10,2011,9,10,947.19,1,1
2011-09-11,2011,9,11,899.21,1,1
2011-09-12,2011,9,12,1073.97,1,1
2011-09-13,2011,9,13,1128.55,1,1
2011-09-14,2011,9,14,1106.1,1,1
2011-09-15,2011,9,15,963.92,1,1
2011-09-16,2011,9,16,1256.21,1,1
2011-09-17,2011,9,17,1224.96,1,1
2011-09-18,2011,9,18,1229.36,1,1
2011-09-19,2011,9,19,1162.45,1,1
2011-09-20,2011,9,20,1176.97,1,1
2011-09-21,2011,9,21,1199.86,1,1
2011-09-22,2011,9,22,1164.65,1,1
2011-09-23,2011,9,23,1126.35,1,1
2011-09-24,2011,9,24,1209.55,1,1
2011-09-25,2011,9,25,899.65,1,1
2011-09-26,2011,9,26,1170.81,1,1
2011-09-27,2011,9,27,1147.92,1,1
2011-09-28,2011,9,28,686.16,1,1
2011-09-29,2011,9,29,1125.47,1,1
2011-09-30,2011,9,30,1067.81,1,1
2011-10-01,2011,10,1,1118.43,1,1
2011-10-02,2011,10,2,1002.22,1,1
2011-10-03,2011,10,3,1292.74,1,1
2011-10-04,2011,10,4,1073.09,1,1
2011-10-05,2011,10,5,1000.9,1,1
2011-10-06,2011,10,6,1158.05,1,1
2011-10-07,2011,10,7,1177.41,1,1
2011-10-08,2011,10,8,1147.48,1,1
2011-10-09,2011,10,9,1066.05,1,1
2011-10-10,2011,10,10,594.6,1,1
2011-10-11,2011,10,11,1210.87,1,1
2011-10-12,2011,10,12,1289.66,1,1
2011-10-13,2011,10,13,1121.95,1,1
2011-10-14,2011,10,14,1123.71,1,1
2011-10-15,2011,10,15,1133.4,1,1
2011-10-16,2011,10,16,1155.84,1,1
2011-10-17,2011,10,17,1112.71,1,1
2011-10-18,2011,10,18,1232.0,1,1
2011-10-19,2011,10,19,1283.5,1,1
2011-10-20,2011,10,20,720.93,1,1
2011-10-21,2011,10,21,1186.66,1,1
2011-10-22,2011,10,22,1083.21,1,1
2011-10-23,2011,10,23,309.8,1,1
2011-10-24,2011,10,24,1052.4,1,1
2011-10-25,2011,10,25,1191.5,1,1
2011-10-26,2011,10,26,1165.97,1,1
2011-10-27,2011,10,27,742.94,1,1
2011-10-28,2011,10,28,1391.35,1,1
2011-10-29,2011,10,29,1123.27,1,1
2011-10-30,2011,10,30,1301.99,1,1
2011-10-31,2011,10,31,1372.86,1,1
2011-11-01,2011,11,1,415.88,1,1
2011-11-02,2011,11,2,431.73,1,1
2011-11-03,2011,11,3,1109.62,1,1
2011-11-04,2011,11,4,815.14,1,1
2011-11-05,2011,11,5,1088.94,1,1
2011-11-06,2011,11,6,1180.06,1,1
2011-11-07,2011,11,7,1099.06,1,1
2011-11-08,2011,11,8,1167.73,1,1
2011-11-09,2011,11,9,1093.34,1,1
2011-11-10,2011,11,10,1382.54,1,1
2011-11-11,2011,11,11,420.28,1,1
2011-11-12,2011,11,12,1147.92,1,1
2011-11-13,2011,11,13,1101.26,1,1
2011-11-14,2011,11,14,1025.99,1,1
2011-11-15,2011,11,15,1086.73,1,1
2011-11-16,2011,11,16,1106.54,1,1
2011-11-17,2011,11,17,1135.6,1,1
2011-11-18,2011,11,18,1105.22,1,1
2011-11-19,2011,11,19,1062.08,1,1
2011-11-20,2011,11,20,1078.81,1,1
2011-11-21,2011,11,21,1224.07,1,1
2011-11-22,2011,11,22,1222.31,1,1
2011-11-23,2011,11,23,1209.55,1,1
2011-11-24,2011,11,24,1210.43,1,1
2011-11-25,2011,11,25,1081.45,1,1
