system:index,LSWI,date,day,month,year,.geo
2_20180622T035539_20180622T041638_T46NGM,0.24977917757372756,2018-06-22,22,06,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180624T034531_20180624T040648_T46NGM,0.2144897598627783,2018-06-24,24,06,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180704T034541_20180704T040055_T46NGL,0.2841121904334078,2018-07-04,04,07,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180704T034541_20180704T040055_T46NHL,0.3445700463490519,2018-07-04,04,07,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180712T035539_20180712T041232_T46NGL,0.3057215509430598,2018-07-12,12,07,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180719T034529_20180719T040418_T46NGM,0.2112657989250972,2018-07-19,19,07,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180724T034541_20180724T035939_T46NGM,0.19909655192014208,2018-07-24,24,07,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180803T034541_20180803T035751_T46NGL,0.2562448218393173,2018-08-03,03,08,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180803T034541_20180803T035751_T46NGM,0.2001323574160666,2018-08-03,03,08,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180803T034541_20180803T035751_T46NHM,0.24337967181219386,2018-08-03,03,08,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180912T034531_20180912T034835_T46NGL,0.1934375416543469,2018-09-12,12,09,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180912T034531_20180912T034835_T46NGM,0.12732334905204953,2018-09-12,12,09,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180920T035529_20180920T041248_T46NGL,0.2811456960854991,2018-09-20,20,09,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180927T034529_20180927T040149_T46NGL,0.2108449335797554,2018-09-27,27,09,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180927T034529_20180927T040149_T46NHL,0.2584373506615441,2018-09-27,27,09,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20181020T035759_20181020T041531_T46NGL,0.273072452141383,2018-10-20,20,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
