system:index,LSWI,date,day,month,satellite,year,.geo
1_2008_04_14,0.2792187859759948,2008-04-14,14,04,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_04_22,0.31482525358969304,2008-04-22,22,04,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_04_30,0.30827487354655764,2008-04-30,30,04,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_05_08,0.27975993786360054,2008-05-08,08,05,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_05_16,0.3159095907892162,2008-05-16,16,05,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_05_24,0.3103899240978709,2008-05-24,24,05,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_06_01,0.3232330842715676,2008-06-01,01,06,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_06_09,0.29098992812217894,2008-06-09,09,06,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_06_17,0.3397523753165807,2008-06-17,17,06,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_06_25,0.3484309533513894,2008-06-25,25,06,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_07_03,0.3836843319232345,2008-07-03,03,07,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_07_11,0.3309443678884848,2008-07-11,11,07,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_07_19,0.33422880631176116,2008-07-19,19,07,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_07_27,0.34136794017637406,2008-07-27,27,07,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_08_04,0.26209933803733476,2008-08-04,04,08,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_08_12,0.27211910398993294,2008-08-12,12,08,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_08_20,0.2941106927962321,2008-08-20,20,08,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_08_28,0.3367928757115078,2008-08-28,28,08,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_09_05,0.2694132985124357,2008-09-05,05,09,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_09_13,0.338205579969275,2008-09-13,13,09,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_09_21,0.2950702974577828,2008-09-21,21,09,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_09_29,0.3413676837592698,2008-09-29,29,09,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_10_07,0.30731064933396224,2008-10-07,07,10,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_10_15,0.2748053318201707,2008-10-15,15,10,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_10_23,0.29664821100713973,2008-10-23,23,10,Terra,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
